title,address,type,latitude,longitude,about_site_label,about_site_text,about_subject_label,about_subject_text,interesting_fact,image_path,external_link
"Jummah Masjid","Royal Road, Queen St, Port Louis, Mauritius","religious_building","-20.1597222","57.505","About the church","Step onto Royal Road in the heart of the old commercial quarter and Port Louis's principal mosque rises in front of you, known simply as Jummah Masjid. The city's mercantile community bought this plot on Queen Street in 1852 and consecrated the mosque a year later, when it went by a different name entirely - the ""Mosque of the Arabs."" What you're looking at today is largely a late-Victorian rebuild: a major expansion begun in 1878 under Jackaria Jan Mahomed dragged on for years, slowed by disease and building-supply shortages, and wasn't finished until 1895.","","","The mosque blends Indian, Creole and Islamic architectural styles so seamlessly that it's often named one of the most beautiful religious buildings in Mauritius.","port-louis-jummah-masjid.jpg","https://en.wikipedia.org/wiki/Jummah_Mosque_(Mauritius)"
"Government House","Intendance St, Port Louis, Mauritius","building","-20.1630396","57.5035699","About the building","At the top of Place d'Armes stands the seat of Mauritius's government, colonial and now national both. The first Government House here was built of wood in 1725 under the French - and lasted only two years before a cyclone tore it down in 1727. What replaced it was built to last: French governors Nicolas de Maupin and Mahé de La Bourdonnais enlarged it into the footprint you see today by 1738, when it was still known by its original name, the Hôtel du Gouvernement.","","","Place d'Armes, the grand palm-lined boulevard leading up to it, is often called the most iconic street in Mauritius, lined the whole way with statues of the figures who shaped the island's history.","port-louis-government-house.jpg",""
"Place d'Armes","Place d'Armes, Port Louis, Mauritius","history","-20.161703758512736","57.50211544668826","About this address","Walk the royal-palm-lined boulevard running from Government House down to the waterfront and you're on the most iconic public space in Port Louis - and its own open-air history lesson. Before it was ceremonial, it was military - Governor De Nyon first fortified this ground with a battery, later reinforced by Mahé de La Bourdonnais, before it was laid out as the formal approach to Government House in 1738. Follow the avenue up from the sea and its statues trace Mauritian history in rough order. La Bourdonnais himself stands at the quayside end, the governor who built the harbour behind him. A little further on, Sir Seewoosagur Ramgoolam faces back up the avenue he led into independence in 1968, close to brothers Sookdeo and Basdeo Bissoondoyal, who stand facing each other - the politician and the organiser who built that independence movement side by side. Midway, Dr Maurice Curé marks the birth of Mauritian labour politics; nearer Government House, lawyer Sir William Newton marks the fight for the vote. And right at the top, inside the courtyard gates, Queen Victoria still sits in bronze - marking the tail end of nearly a century and a half of British rule.","","","Every statue along this boulevard - from La Bourdonnais to Queen Victoria - is individually classified as a National Heritage monument, meaning Place d'Armes carries more protected heritage sites per metre than almost anywhere else in Mauritius.","port-louis-place-d-armes.jpg",""
"Central Market Port Louis","9 Corderie St, Port Louis, Mauritius","history","-20.1606919","57.5029509","About this address","Step into the historic heart of Port Louis's daily life - a market that's been trading here, in one form or another, since 1828, moving to this site in 1833 and formally opening under British rule in 1839. Its wrought-iron gates, worked with floral motifs and dating from that same year, are one of the city's best-loved pieces of Victorian-era heritage; the building itself was heavily renovated between 2001 and 2004 after several fires, careful to keep its original character intact.","","","For nearly two centuries this market has been where all of Mauritius's communities meet and trade side by side - Creole, Franco-Mauritian, Indian, Chinese and African - and locals still often call it the Bazaar or Victoria Market rather than by its official name. A serious fire tore through the market in 1996, badly damaging the building - the renovation that followed, running 2001 to 2004, was as much about repairing that fire damage as modernising a market that was already over 150 years old.","port-louis-central-market-port-louis.jpg",""
"Champ de Mars","9 Dauphine St, Port Louis, Mauritius","history","-20.1692212","57.5101827","About this address","This is the home of Champ de Mars Racecourse, inaugurated on 25 June 1812 by the Mauritius Turf Club - the oldest horseracing club in the Southern Hemisphere, and the second-oldest anywhere on Earth. Long before it hosted a single race, French governor Mahé de La Bourdonnais used this same ground to drill his troops.","","","The sport hasn't been free of its own scandals either: in 2024, jockey Alvinio Roy was handed a five-year disqualification after appearing to deliberately dismount from his leading horse mid-race here - a stark reminder that a 200-year-old institution still has very modern problems.","port-louis-champ-de-mars.jpg","https://en.wikipedia.org/wiki/Champ_de_Mars_Racecourse"
"Citadelle (Fort Adelaide)","Sebastopol St, Port Louis, Mauritius","building","-20.1637146","57.5102772","About the building","Climb the hill above Port Louis and this citadel - also known as Fort Adelaide - looms over the whole city, built by the British between 1830 and 1840 and named for Queen Adelaide, consort of King William IV. It went up to guard against invasion and to keep a lid on the racial tensions of the period, its basalt-stone walls raised over six years of construction using hundreds of Indian contractors.","","","For all its imposing walls, the fort was never actually used in combat - it survives today as the best-preserved of the major British fortresses ever built on the island. It wasn't built by any single, simple workforce either - it drew on Mauritian apprentices, Indian convicts and indentured labourers, masons brought over from Bombay, British soldiers and Royal Engineers all at once, and construction even stalled for almost three years partway through when the labour supply dried up.","port-louis-citadelle-fort-adelaide.jpg",""
"Cannon Stand","69 Emmanuel Anquetil St, Port Louis, Mauritius","history","-20.1633953","57.5097652","About this address","Along the ramparts of Fort Adelaide, a row of cast-iron cannons still sits mounted on wooden carriages, aimed out over Port Louis harbour exactly as they were when the fort was finished. Built from black basalt in a Moorish style between 1830 and 1840, the fort itself was raised to guard against a feared French invasion and to help suppress local opposition to the abolition of slavery.","","","Despite bristling with cannons and room for a 200-strong garrison, the fort never saw combat - its guns went unfired, and today its ramparts are better known as one of the best viewpoints over Port Louis and the mountains around it.","port-louis-cannon-stand.jpg",""
"Blue Penny Museum","Caudan Waterfront, Port Louis, Mauritius","museum","-20.1609278","57.497513","About the museum","Step inside this museum on the Caudan Waterfront, dedicated to the history and art of Mauritius since it opened in November 2001, and you're standing feet away from two of the rarest stamps on Earth. Its centrepiece is a pair of 1847 ""Post Office"" stamps - the one-penny orange-red and two-pence blue - designed off the back of Britain's Penny Black and stamped with Queen Victoria's profile.","","","A consortium of Mauritian companies, led by the Mauritius Commercial Bank, paid $2,000,000 in 1993 just to bring the stamps home after almost 150 years abroad. To protect them from light damage, the real stamps are only illuminated for ten minutes on the quarter-past of every opening hour - the rest of the time, what you're looking at is a facsimile.","port-louis-blue-penny-museum.jpg","https://en.wikipedia.org/wiki/Blue_Penny_Museum"
"Aapravasi Ghat World Heritage Site","1 Quay St, Port Louis, Mauritius","history","-20.158554","57.5029509","About this address","You're standing at the place where the modern indentured-labour diaspora began - though the practice itself predates this exact building. The first 36 indentured labourers reached Mauritius on 2 November 1834 aboard the ship Atlas, which had left India that September; they landed near the old Customs House, just metres from where you're standing now, fifteen years before this purpose-built depot even existed. Built in 1849, the Aapravasi Ghat - literally the 'Immigration Depot' - became the main entry point for almost 500,000 indentured labourers brought to Mauritius between 1849 and 1923, mostly from India but also China, Africa, Madagascar and Southeast Asia, to work the island's sugar plantations after the abolition of slavery. New arrivals bathed after weeks at sea, were medically inspected and vaccinated against smallpox, had their contracts read aloud in their own language, and usually spent about two days here completing the paperwork before being sent out to sugar estates across the island. It's been a UNESCO World Heritage Site since 2006.","","","Roughly 70% of Mauritians today are descended from these indentured labourers - making this small 1,640 m² depot one of the most significant sites anywhere for understanding the roots of modern Mauritian society, and one of the earliest examples of a labour-migration system that would go on to reshape economies worldwide.","port-louis-aapravasi-ghat-world-heritage-site.jpg","https://whc.unesco.org/en/list/1227/"
"Sir Sewoosagur Ramgoolam Statue","Place d'Armes, Port Louis, Mauritius","statue","-20.1607402","57.500884","About the statue","This statue at Caudan Waterfront honours Sir Seewoosagur Ramgoolam, the first Prime Minister of independent Mauritius - and his own story is as remarkable as the office he held. Born in 1900 at Belle Rive to an indentured labourer from India, he rose from a self-enrolled mission-school pupil to co-found the Mauritius Labour Party in 1936, campaigning for voting and workers' rights. He served as Mayor of Port Louis, then Chief Minister, then Premier, before leading Mauritius to independence on 12 March 1968 as its first Prime Minister.","","","As the first head of the independent government, Ramgoolam established free education, free healthcare and a national social security system - a legacy still marked every year on his birthday, 12 September, celebrated across the island as SSR's birth anniversary. His legacy isn't spotless, though: the 'Caisse Noire Affair,' a slush-fund scandal that rocked Air Mauritius for two decades, traced back to a request Ramgoolam made in 1981 for funds to prop up the Labour Party's own struggling newspaper - the secret Swiss bank account it created wasn't exposed until 2001, sixteen years after his death.","port-louis-ramgoolam-statue.jpg",""
"Port Louis Fire Station","Maillard St, Port Louis, Mauritius","building","-20.164693","57.504012","About the building","This is the Port Louis Fire and Rescue Service's main station, still a working municipal building - and the oldest fire station still in operation in Mauritius, housed in a handsome structure dating to 1906. It replaced an earlier station relocated from the port area in 1850, part of the city's long, hard-won response to the devastating fires of 1816 and 1892, back when most of Port Louis was still built from wood and straw.","","","In 1899, Merryweather built the world's first successful self-propelled steam fire engine, the ""Fire King"" - and the very first one off the production line was shipped straight to Port Louis, putting this small colonial fire station at the leading edge of firefighting technology for its era.","port-louis-fire-station.jpg",""
"Café du Vieux Conseil","Rue du Vieux Conseil, Port Louis, Mauritius","building","-20.1641494","57.5039678","About the building","This is a restaurant, tucked among the historic government-quarter buildings near Government House on a street named simply 'Old Council Street.' Its real draw is the courtyard - veranda and timber kiosks shaded by large old trees, the kind of place where business people, diplomats and tourists in the know settle in for an unhurried meal off a menu that blends Mauritian, Indian and Italian dishes, often with live music drifting across the tables. It's been a quiet favourite of Port Louis's professional and diplomatic set for years, doubling as a venue for concerts, exhibitions and evening events when it's not simply full of people enjoying lunch.","","","The chef's specialty is a pancake served with either asparagus or thinly sliced smoked marlin - a small, telling sign of how thoroughly French, Indian and Mauritian culinary traditions blend together on a single menu here.","port-louis-cafe-du-vieux-conseil.jpg",""
