landmark_sequence_order,question_order,title,instructions,tile_order,name,image_path,correct
4,5,Pick 5: born in Edinburgh,"5 of the celebs below were born in Edinburgh, 4 weren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.",0,Tony Blair,fiftyfifty-born-edinburgh-tony-blair.jpg,true
4,5,Pick 5: born in Edinburgh,"5 of the celebs below were born in Edinburgh, 4 weren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.",1,Tilda Swinton,fiftyfifty-born-edinburgh-tilda-swinton.png,false
4,5,Pick 5: born in Edinburgh,"5 of the celebs below were born in Edinburgh, 4 weren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.",2,Sir Chris Hoy,fiftyfifty-born-edinburgh-chris-hoy.jpg,true
4,5,Pick 5: born in Edinburgh,"5 of the celebs below were born in Edinburgh, 4 weren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.",3,Ruth Davidson,fiftyfifty-born-edinburgh-ruth-davidson.jpg,true
4,5,Pick 5: born in Edinburgh,"5 of the celebs below were born in Edinburgh, 4 weren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.",4,Stephen Hendry,fiftyfifty-born-edinburgh-stephen-hendry.jpg,true
4,5,Pick 5: born in Edinburgh,"5 of the celebs below were born in Edinburgh, 4 weren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.",5,Ewan McGregor,fiftyfifty-born-edinburgh-ewan-mcgregor.jpg,false
4,5,Pick 5: born in Edinburgh,"5 of the celebs below were born in Edinburgh, 4 weren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.",6,JK Rowling,fiftyfifty-born-edinburgh-jk-rowling.jpg,false
4,5,Pick 5: born in Edinburgh,"5 of the celebs below were born in Edinburgh, 4 weren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.",7,Alex Salmond,fiftyfifty-born-edinburgh-alex-salmond.jpg,false
4,5,Pick 5: born in Edinburgh,"5 of the celebs below were born in Edinburgh, 4 weren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.",8,Kirsty Wark,fiftyfifty-born-edinburgh-kirsty-wark.jpg,true
12,5,"Pick 5: Harry Potter Inspiration","5 of these Harry Potter characters are believed to be inspired by graves in the kirkyard, 4 aren't. Tap a tile to pick it - tap again to unpick. Pick as many as you think are correct, then tap the submit button. **IMPORTANT** you don't have to pick 5 - you get 1 point for each correct answer, but a minus point for a wrong answer, so be careful. You could score **+5** 🤩 but you could score **-4** 😢.",0,McGonagall,hp-inspiration-mcgonagall.jpg,true
